x,y,name
0.09402123503164736,0.3599650919699673,garethdandrews
0.10204724866568031,0.1425427680296219,bearcalleddave
-0.10873006281583533,0.13412816472298555,khuneeee
-0.17812073604890516,0.21541538615628092,Whatashamemum
-0.19318943068685268,0.13380704649597938,JamesPicton
-0.5303652319727237,0.1724493367235159,TheProseph
-0.5251814131746343,0.36967285083965,dylankench
-0.58166163689876,0.23185157551910324,percyDD
-0.18361642477516182,0.27840317811949233,CatTemplar
-0.4174661501933141,0.17857347160587772,tomoswootton
-0.6389169749799258,0.19678945686423555,SonnyThornhill
-0.21713085226165937,0.23927916242644381,JonnyClark1990
-0.05304796339947802,0.29487136856738333,matgracias
0.01386857299316373,0.09712164613853069,Primo_s
0.03848362612496459,-0.06429629507322258,Callipyginous
-0.5707315364597383,0.2238065260073122,seam_boi
-0.3638785023337685,0.2591828274821863,BroomPerson21
-0.2742441661067791,0.07902469551748383,Mathearny95
-0.15615830750072832,0.30625356800858544,tafferss
0.02081679324508423,0.3606142623297401,thigmotaxis
-0.029733013640069875,0.20065288134843423,qqalto
-0.021951824547564162,0.014694559182700915,robert11789
0.11074567521869035,0.29576959231528427,Napoleonidas-
-0.21163744923009276,0.016552704318542714,AndyPhillips_
0.06407945237783073,0.022957956345516957,Nath_fm
0.030788139111000278,0.04474190666559028,ESC_PaperTiger
0.0342477386001157,-0.02502776796533138,flos
0.18017084284122464,-0.46096733682858393,Woodawgy
0.024908215269035493,0.012273373527946808,LordAssHole
0.037991307552239076,7.555041747303022E-5,it0247
0.18499545220698746,-0.5137041503431821,zensunn
0.04434269922092044,-0.0026989784445963453,Asavingwhisper
0.05830564171315601,0.007340737060401111,Lialka1991
0.061430421497226675,0.07096450691776653,Simian9
0.0373898517501525,0.03898520284667159,Fairlight87
0.0522107909197471,0.03217487246161447,xglax
0.037101357747343425,6.036926068035281E-4,ReinR
0.05348891934850502,0.060991960303900604,Jordanlol
0.02742368258508892,0.015998991377013497,emmcho
0.2457809088630149,-0.8421174900354702,Shagaravath
0.2152067746084952,-0.7370095945462667,ProcionZerg
0.25294267077094934,-0.8822613435276689,GatoRaiga
0.2658059648089385,-0.8492165592452013,Romanius
-0.034862464632599705,-0.24039146141192952,m7md-ye7ia
0.23607255204298996,-0.7828961469124115,AltariusW
0.03096026055817601,0.07547385301640266,samwh
0.03804906969325511,0.11786944760351813,CrouchEndChris
0.04134306773807274,-0.016837551762735832,keygen
0.031245571505296794,-0.0019033324665178786,tanya_90
0.04233507603732549,-0.008029825282155683,Darchoo
