x,y,name,topGenre
-0.38768203832396464,-0.28628038918151555,garethdandrews,classic rock
-0.09529097147329489,-0.09293283171750041,bearcalleddave,classic rock
-0.2738017618333753,-0.15209275510716733,khuneeee,Drum and bass
-0.1915949942231038,-0.009910396951635422,Whatashamemum,rock
-0.1609286501850498,0.05608340347573705,JamesPicton,Drum and bass
-0.5504905595424825,0.4504452227008336,TheProseph,House
-0.623086368338768,0.1833025751535444,dylankench,Hip-Hop
-0.4244484032697623,0.31809250390653554,percyDD,Hip-Hop
-0.1461853987661469,-0.20211853001496377,CatTemplar,seen live
-0.5701312377457501,0.4723864658143667,SonnyThornhill,Hip-Hop
-0.056702798612081884,0.14531618251681006,AndyPhillips_,Hip-Hop
-0.34798594821725076,0.321811699009268,CianKel,Hip-Hop
-0.3269334088614525,0.23723295607853678,tomoswootton,Hip-Hop
-0.24289687790775652,-0.16769889451513156,JonnyClark1990,seen live
-0.2863375376295324,-0.2770910463613496,matgracias,folk
-0.17913713442987608,-0.10453096377306315,Primo_s,synthwave
0.06681355191040793,-0.19585718071061195,Callipyginous,electronic
-0.5697660678189439,0.40140520553535297,seam_boi,Hip-Hop
-0.46658681722074297,0.22154805394173158,BroomPerson21,Hip-Hop
-0.17100649790288386,0.19114985040359217,Mathearny95,Hip-Hop
-0.554748788385449,-0.24025727114993145,tafferss,ska
-0.4223589418642376,-0.21455263430244192,thigmotaxis,classic rock
-0.2655188425210657,-0.24118723640760892,qqalto,indie
-0.025898016004292167,0.05893693889349282,robert11789,dubstep
-0.3268416601021629,-0.28957957806088863,Napoleonidas-,indie
-0.1699339479553755,0.2731829735475187,KurtMclester,pop
-0.003143310313329209,-0.009001622246752881,samleeney,electronic
0.0042503924290816465,0.0069746288406090364,chloe-fletcher,Drum and bass
-0.4198641314049018,-0.08803526779136678,Joe_Yelland,classic rock
0.05040553563041757,0.005846932696030227,roxmodr,metalcore
-0.13372981531154782,0.15438221388991638,hexmodr,Hip-Hop
0.22776119112747906,-0.39639277256325556,sp1tekiller,Progressive metal
0.08861870760353238,-0.3368238702017002,Fridgeboy,rock
0.1554676720289327,-0.4538221362909841,Jc1990,Progressive rock
0.171159328427498,-0.33292547712696996,MaGna720,Progressive metal
-0.4610806751759146,0.13694200877762716,DCCXX,Hip-Hop
0.029400641396714444,0.04862730117221,keygen,trance
-0.18034243482228537,0.05900669730869722,Raydicon,electronic
0.055350725688731194,0.004528153775583502,Synthenebrism,synthwave
0.18758670407072114,-0.2889316384897898,anarmyoffatkids,classic rock
-0.5534780744033734,-0.37847432729642694,juancarlospl,indie
0.038432599818677415,-0.0850235070864526,tranvick,electronic
0.06931696429515424,-0.14515651380413017,Sonnellion,black metal
0.021153234955441236,-0.02882328014686589,jakeledoux,electronic
-0.012308958824274097,0.03767023275131173,aliceinelmoland,post-hardcore
-0.12736216266259187,-0.09499159327668931,Skovro,folk
0.03543637310209097,-0.029895000070040718,digishit,synthwave
-0.5013389951965738,-0.1249164585538185,Blvd_Nights,indie
-0.011862020458752034,0.010136700556305077,SuperiorRobot,electronic
0.040232424805123033,0.023488056195336244,YudhiG,Soundtrack
-0.10985653954005663,0.09847920998645655,braydenmclellan,Hip-Hop
0.02990772076182744,0.01826923223714071,mcavengers,indie
-0.040177941644481935,0.031864240892897674,ferrum_23,electronic
-0.07627378002989078,0.08703895070843859,waltrg,electronic
-0.2710280900127628,-0.11150169940089116,j2los,indie
-0.3525478513661151,0.16159590843315852,josh_200,Hip-Hop
-0.02233536483330174,0.012950076403815123,danoxidous,Hip-Hop
0.01890467100402558,0.07364990002196024,conorh333,electronic
-0.1652787558140336,0.18844743238530864,edubbwitthevdub,Hip-Hop
0.060527628856490184,0.02741089365119344,subzerosc,Soundtrack
-0.22122688248335706,-0.28979857903315426,TheDarkOrb,electronic
0.13070176427917882,-0.11683284238221069,luciferosx,death metal
0.006087453746422949,0.08005628513753779,Kefkef123,Hip-Hop
-0.03496359891704764,0.06640981468800732,HendriksM_,electronic
0.025064625499342446,0.03254254628175724,Burloise,Soundtrack
0.2429866532588734,-0.306267401236013,b-rad,Power metal
-0.12776098850582626,-0.09689958462814552,bferner,folk
-0.029893095233544786,-0.005403350590015075,pizzicatoiv,electronic
-0.3203450612990638,-0.362484573629852,Penguin619,indie
-0.2791857979017354,0.22010987113626554,smoker05,Hip-Hop
0.045599837249227775,0.011443963959914472,jako1987,dubstep
-0.25190251816053666,0.05009321553155667,el_tiuri,Hip-Hop
-0.01646334717294767,0.0761770061223871,Paralectic,Hip-Hop
0.003167531444246676,0.02544778762854519,newman75,post-hardcore
-0.023391809303828826,-0.19253138060350367,justanotherider,rock
0.007477828873022434,0.05262811185596832,dereco01,electronic
0.06520266813986994,-0.08786378145754982,Arssen,Gothic Metal
0.01694631894139477,0.020678301080646805,SochiLoungeNeon,synthwave
-0.013227434476382062,0.032701453765609664,Shambler306,synthwave
-0.27041134625632846,0.1183992010567365,salvaam,Hip-Hop
-0.17646043314568408,-0.12420854448071145,melodymann,electronic
0.0390695371666534,0.024592442723343013,finitek,synthwave
0.13915194091439187,-0.54039218219311,Nath_fm,Progressive metal
0.04271610106194806,-0.10047989273873077,ESC_PaperTiger,post-rock
0.02118398056629124,-0.0753631137986901,flos,neofolk
-0.012972424640969477,-0.0628765952792668,Woodawgy,ambient
0.002234672967741012,-0.07637593622934166,LordAssHole,black metal
0.11535852149242863,-0.16214257488417785,it0247,Progressive metal
-0.013519661173050191,-0.1489874931582431,zensunn,industrial
-0.05283311227099196,-0.003397095360467739,Asavingwhisper,electronic
0.026200363689124616,-0.07788138268808667,Lialka1991,post-rock
-0.07307513169902498,-0.2575073347125459,Simian9,rock
-0.0377878491831482,-0.022040270026795004,Fairlight87,post-punk
-0.01843006747886918,-0.040198239503002296,xglax,post-rock
-0.028031277738253046,-0.03872940191562868,ReinR,doom metal
-0.08317559881401768,-0.18104393777609618,Jordanlol,Progressive metal
0.05634737301594554,-0.021570480427187295,emmcho,deathcore
0.026937522606581756,0.02402441152046969,Shagaravath,ambient
0.03306842731833404,-0.003692150414453068,ProcionZerg,ambient
0.024211952011289607,0.017769056634493297,GatoRaiga,ambient
0.060257060872016856,-0.04739993761781475,Romanius,ambient
-0.02863448824081901,0.008613350959223333,m7md-ye7ia,post-rock
0.017740841162662824,0.013160376300260396,AltariusW,ambient
-0.13335695487984253,-0.14307877388815785,samwh,ambient
-0.18694489720507168,-0.2448340951041265,CrouchEndChris,indie
0.0021294985016842172,-0.08496097085561938,tanya_90,rock
-0.00967714480798423,0.05652677352988769,Darchoo,minimal
0.016362040742379215,-0.006844198765099321,pliffgrieff,female vocalists
0.08215764914861837,-0.15811320612807062,Contemptible,Progressive metal
-0.0948846185171443,-0.02785915729506353,DrewQu,electronic
0.012217318564803348,-0.0174161002068,marcusp84,hardcore
0.17162131566887234,-0.3003158872431156,twisstichrissi,Progressive metal
-0.6168382279778014,0.35769230943702524,CiVYaBish,Hip-Hop
-0.5794859032998545,0.5101611922500099,alicewest,Hip-Hop
-0.6225356253172355,0.19641342692887587,middaymarauder,Hip-Hop
-0.18380736891085717,-0.22482941091211317,foreigner97,rock
-0.22848117695955605,0.012147330637775695,Porygoon,Hip-Hop
0.06904204364584077,-0.13042808958949736,Chillu1,Progressive rock
-0.19857075409642627,0.021777508503136214,eightiesSpandex,Hip-Hop
-0.3073920877703283,-0.5296122990919719,Vauxlez,thrash metal
-0.1848765795413465,-0.13310329475065566,mscpalves,indie
-0.24276309109042363,-0.20370697706010693,yogurdegalleta,indie
-0.667649391941303,-0.047826366576544335,some_dude_32,Hip-Hop
-0.569022186122747,-0.10692752796375145,edenbish,Hip-Hop
-0.39731463298694963,-0.08760906942187358,shayleeharrison,indie
-0.5743315390535078,-0.4981991965061326,JamieCross91,indie
-0.09774140969621209,-0.058064972819169516,AliceRae,indie
-0.5925581538571899,0.3645256638577389,zachandtwo,Hip-Hop
-0.34725766015778436,-0.2833280849087213,sjules284,indie
-0.3358185665107676,0.1498270804713808,jimmypena,Hip-Hop
-0.37177660621105946,-0.26567715786456503,tres_kafkaesque,indie
-0.5094846042210787,-0.24123237348053142,Thomasstc,indie
-0.6774262412732398,0.17214956479737045,tribe__,Hip-Hop
-0.032609255858994705,-0.05810348868397395,shawncplus,metalcore
-0.5146266883497018,0.4416816464783958,tomjams,Hip-Hop
-0.2293327407913441,-0.20943717197908457,THEminority_,indie
-0.04146514996078691,0.03281671379000298,Chateaulobby,pop
-0.12597828818766474,-0.08628799956580042,unpunk,hardcore
-0.5353321297701202,0.4632596354974963,arun_ramsingh,Hip-Hop
-0.4574709309008755,0.38471896447189236,A5troBlack,Hip-Hop
-0.6099739894335968,0.41450195490872566,daysbeforerodeo,Hip-Hop
-0.8246355051452917,-0.13983286733858993,ToussaintHD,Hip-Hop
-0.10851039650631762,-0.06707207599378037,carligan4,folk
-0.5581248034103317,0.44340677631983827,zabreklz,Hip-Hop
-0.2947530001660391,0.21875847217404362,lobstertrapper,Hip-Hop
-0.20557248763679253,0.04022473458369289,alcyoney,Hip-Hop
-0.24233761332593487,0.049737401776287354,simoftw,Hip-Hop
-0.11428928252409129,-0.03786995007002181,malia_jumponit,indie
-0.5998569597815185,-0.3046903640297071,divingstation42,indie
-0.6113469427744949,0.25693180759181655,majormofficial,Hip-Hop
-0.39087077986511115,-0.4110279175633023,Shaggylicious,Hip-Hop
-0.39764184065685293,0.18444683976961881,jt_wittman,Hip-Hop
-0.4567861979154134,0.213255358490288,MattAurand,Hip-Hop
-0.17618793649859354,0.037178436481836025,h0neyzuckle,Hip-Hop
-0.3006693813031512,0.08726077898876314,kittening420,Hip-Hop
-0.397720102750696,0.4157945943780746,titlefightmike,Hip-Hop
-0.5240389038642411,0.5058703520757367,DrStrangeCake,Hip-Hop
-0.544035414885904,0.3303642728754381,DropoutBear,Hip-Hop
-0.3625028796886919,0.3618203219878921,agentzerooo,Hip-Hop
-0.5624230197693687,0.2612724497371358,chajimak,Hip-Hop
-0.3606625248163688,-0.1689808723034336,giggles228,Hip-Hop
-0.2695569349263071,-0.16324517975162067,DriftwoodProse,indie
