x,y,name,topGenre
-0.02877240382463348,-0.49445874027505166,garethdandrews,classic rock
0.08154829009837355,-0.29959896893520666,bearcalleddave,classic rock
-0.007370048378256791,0.008363434117182381,khuneeee,Drum and bass
-0.04619738131828627,-0.31223167959677084,Whatashamemum,rock
-0.24307837051351908,-0.16508602980025447,JamesPicton,Drum and bass
-0.25341106644619404,-0.01844532239754469,TheProseph,House
-0.30053764623241336,-0.2198888003253046,dylankench,Hip-Hop
-0.4046028557891918,-0.17660251557473777,percyDD,Hip-Hop
-0.171531578193659,-0.3447843496303982,CatTemplar,seen live
-0.514756421549467,0.028982455779121383,SonnyThornhill,Hip-Hop
-0.33714260004871477,0.16807502419851794,AndyPhillips_,Hip-Hop
-0.18399934287427636,-0.0046167698508170485,CianKel,Hip-Hop
-0.348248893674626,-0.09445720920601797,tomoswootton,Hip-Hop
-0.016197197874144538,-0.05168193205764435,JonnyClark1990,seen live
0.05629093562678381,-0.41296250121342193,matgracias,folk
0.04224888415663308,-0.10968764686561844,Primo_s,synthwave
0.13911877192486707,0.0398054224056668,Callipyginous,electronic
-0.27516980583210393,-0.25420013397541075,seam_boi,Hip-Hop
-0.33865376200387726,-0.09344461064401653,BroomPerson21,Hip-Hop
-0.3462756403660513,0.14077990438471832,Mathearny95,Hip-Hop
0.014668691455672334,-0.21729909539667072,tafferss,ska
-0.033215703827443085,-0.4454278651989876,thigmotaxis,classic rock
0.14578420192942276,-0.15070544310747144,qqalto,indie
-0.006180526912919985,0.07755038413054033,robert11789,dubstep
0.13258363038152546,-0.1660187620613351,Napoleonidas-,indie
-0.12056061320338804,0.08576453786998237,KurtMclester,pop
0.06919166281117177,-0.06136267358386843,samleeney,electronic
0.03817093284263838,0.08051521945505803,chloe-fletcher,Drum and bass
-0.07026811720888607,-0.4199538924856908,Joe_Yelland,classic rock
0.018943621460048167,0.09944551574954319,roxmodr,metalcore
-0.10256711433870477,0.0497085424077645,hexmodr,Hip-Hop
0.11455726007041254,0.11369098595882059,sp1tekiller,Progressive metal
0.26759351229832873,0.07838727099970368,Fridgeboy,rock
0.2755976510911453,0.10234033430893548,Jc1990,Progressive rock
