x,y,name,topGenre
-0.2185079469207406,0.6307476141667462,garethdandrews,classic rock
-0.04071666759929349,0.3280903463344336,bearcalleddave,classic rock
0.01674492825691845,0.053858830870216534,khuneeee,Drum and bass
-0.22310460195263737,0.15103249090727094,Whatashamemum,rock
-0.2044549450393569,-0.01355431311912043,JamesPicton,Drum and bass
-0.6539469511591255,-0.39345458267709693,TheProseph,House
-0.5179658625156777,0.02027498939283045,dylankench,Hip-Hop
-0.5283652474950812,-0.16633593021890292,percyDD,Hip-Hop
-0.044952080249843415,0.17666979497964444,CatTemplar,seen live
-0.6202054270242913,-0.30216175660177347,SonnyThornhill,Hip-Hop
-0.08796510235187635,-0.12183568303545617,AndyPhillips_,Hip-Hop
-0.5262230309572674,-0.3936292983547719,CianKel,Hip-Hop
-0.4033139596107263,-0.12630904309782326,tomoswootton,Hip-Hop
0.04702871389725901,0.03688366878286013,JonnyClark1990,seen live
-0.008143344068423706,0.3846957559718496,matgracias,folk
0.02993328403176411,0.06648658850197695,Primo_s,synthwave
0.1889385419785025,-0.04559906654628929,Callipyginous,electronic
-0.7007000690612621,-0.2872057612542196,seam_boi,Hip-Hop
-0.4250355653945655,-0.051951103654846315,BroomPerson21,Hip-Hop
-0.16049306316526357,-0.059060754305956094,Mathearny95,Hip-Hop
-0.16863691265092706,0.12836161075951683,tafferss,ska
-0.2829011180816546,0.5690362197404772,thigmotaxis,classic rock
0.08722068279945347,0.12101532853875542,qqalto,indie
0.01938649050982847,-0.006438691460468151,robert11789,dubstep
-0.0743449387319472,0.40482767298770966,Napoleonidas-,indie
-0.32592404093169,-0.3168224991057919,KurtMclester,pop
0.044721075534975493,0.02362194638616895,samleeney,electronic
0.08127339037604794,-0.04035790198425654,chloe-fletcher,Drum and bass
-0.30324566249583645,0.5654529664131209,Joe_Yelland,classic rock
0.07941956125740555,-0.04118531070555972,roxmodr,metalcore
-0.2152849645225694,-0.2351833994464499,hexmodr,Hip-Hop
0.2390944139320875,-0.03203488220014708,sp1tekiller,Progressive metal
0.3054560892492978,-0.046869574135060724,Fridgeboy,rock
0.3921998838034835,-0.04850875396678944,Jc1990,Progressive rock
